Word,number,Frequency
và,11954,0.9487301587301588
của,11540,0.9158730158730158
đã,11279,0.8951587301587302
trong,11256,0.8933333333333333
cho,11196,0.8885714285714286
có,11076,0.8790476190476191
các,10841,0.8603968253968254
được,10752,0.8533333333333334
là,10631,0.8437301587301588
với,10483,0.8319841269841269
để,10481,0.8318253968253968
người,10412,0.8263492063492064
đến,10388,0.8244444444444444
về,10285,0.8162698412698413
trên,9925,0.7876984126984127
không,9792,0.7771428571428571
đó,9678,0.768095238095238
khi,9599,0.7618253968253968
từ,9487,0.7529365079365079
ra,9432,0.7485714285714286
theo,9391,0.7453174603174603
tại,9346,0.7417460317460317
ở,9242,0.7334920634920635
một,9241,0.7334126984126984
những,9163,0.7272222222222222
vào,9101,0.7223015873015873
ngày,8838,0.7014285714285714
sau,8792,0.6977777777777778
này,8767,0.6957936507936507
bị,8552,0.6787301587301587
nhiều,8502,0.6747619047619048
năm,8198,0.6506349206349207
hơn,8150,0.6468253968253969
cũng,8052,0.6390476190476191
đang,7763,0.6161111111111112
như,7588,0.6022222222222222
làm,7549,0.5991269841269842
trước,7490,0.5944444444444444
lại,7300,0.5793650793650794
nam,7282,0.577936507936508
qua,7178,0.5696825396825397
còn,7177,0.5696031746031746
việc,7147,0.5672222222222222
biết,7047,0.5592857142857143
do,7046,0.5592063492063492
phải,7043,0.558968253968254
sẽ,6879,0.545952380952381
nhưng,6761,0.5365873015873016
đi,6757,0.5362698412698412
nước,6699,0.5316666666666666
ông,6688,0.5307936507936508
việt,6602,0.523968253968254
dân,6414,0.5090476190476191
cùng,6402,0.508095238095238
đây,6238,0.49507936507936506
mà,6218,0.4934920634920635
hai,6185,0.49087301587301585
lên,6169,0.4896031746031746
nhà,6143,0.48753968253968255
chỉ,5997,0.47595238095238096
sự,5948,0.4720634920634921
khác,5790,0.4595238095238095
hay,5764,0.45746031746031746
nhất,5708,0.45301587301587304
đưa,5666,0.4496825396825397
mới,5655,0.4488095238095238
nguyễn,5627,0.4465873015873016
thì,5617,0.4457936507936508
tháng,5500,0.4365079365079365
vì,5453,0.43277777777777776
số,5438,0.4315873015873016
nói,5428,0.4307936507936508
cao,5357,0.4251587301587302
bộ,5355,0.425
cả,5258,0.4173015873015873
thấy,5154,0.40904761904761905
nên,5139,0.40785714285714286
rất,5100,0.40476190476190477
vẫn,5098,0.4046031746031746
thêm,5055,0.4011904761904762
tới,5009,0.3975396825396825
chưa,4948,0.3926984126984127
gần,4927,0.391031746031746
có_thể,4866,0.3861904761904762
rằng,4865,0.3861111111111111
lớn,4818,0.3823809523809524
việt_nam,4810,0.3817460317460317
tổ_chức,4732,0.37555555555555553
nay,4690,0.37222222222222223
tỉnh,4644,0.36857142857142855
gây,4557,0.3616666666666667
đối_với,4530,0.3595238095238095
vụ,4519,0.35865079365079366
lần,4501,0.3572222222222222
tiếp_tục,4466,0.35444444444444445
đầu,4363,0.3462698412698413
cần,4357,0.3457936507936508
một_số,4351,0.3453174603174603
bằng,4343,0.3446825396825397
chính,4342,0.3446031746031746
đồng,4328,0.3434920634920635
thực_hiện,4327,0.3434126984126984
đường,4310,0.34206349206349207
họ,4306,0.34174603174603174
điều,4301,0.34134920634920635
