title,text,author,source_domain
ÔNG THỦ TƯỚNG PHẠM MINH CHÍNH CÓ BAO NHIÊU BỒ VÀ VỢ?,"Không có một vị Thủ tướng nào trên thế giới mà lắm vợ như ông Phạm Minh Chính - Thủ tướng nước Việt Nam. Vi phạm trầm trọng Luật hôn nhân gia đình, vi phạm 19 điều cấm đảng viên không được làm. Vậy mà vẫn Quy hoạch, bổ nhiệm, cơ cấu. Đúng là đảng cộng sản Việt Nam là một trò hề thật. Theo nguồn thông tin cho biết ông Phạm Minh Chính có tới 4 bà vợ, bà vợ nào cũng có con chung với ông Chính. Tin thêm là không biết ông lấy tiền từ đâu ra mà trong đó 2 con của ông có tiền du học Mỹ, một cô con gái đã về nước làm tại Ngân hàng Nhà nước. Hiện nay ông Chính đang ở một mình, chính vì vậy nên bà Lê Thị Trân không có mặt chung trong các chuyến công tác của ông Chính cũng là lẽ thường tình. Đây là cô Nguyễn Thị Hoa sinh năm 1977, quê Thanh Hoá, hiện đang làm tại Bộ Công thương mà ngài đương kim Thủ tướng Phạm Minh chính đã xơi tái khi cô đang là bạn thân của Hồng Chinh, một cô bồ khác của ông Chính (ăn cả bồ và bạn bồ)",Thái Văn Đường,bbc.com
"KHÔNG CÓ TIỀN THÌ IN RA! IN RA! KHÔNG SỢ LẠM PHÁT! TƯ BẢN ĐẾ QUỐC IN TIỀN MỚI LẠM PHÁT CHỨ TA, CHUYÊN CHÍNH VÔ SẢN THÌ SAO LẠI LÀ LẠM PHÁT MÀ SỢ?”","Tổng bí thư Lê Duẩn với vấn đề lạm phát và chuyên chính vô sản một cách ngắn gọn. Một chiều, Duẩn phàn nàn rằng ông đã bảo Thành uỷ Hà Nội làm bàn ghế, giường tủ bán chịu cho công nhân viên, trừ lương hàng tháng hay trả dần nhưng họ không nghe. Duẩn nói: - Tôi hỏi thì nói không có tiền. Kìa, không có thì in ra! In ra! Không sợ lạm phát! Tư bản đế quốc in tiền mới lạm phát chứ ta, chuyên chính vô sản thì sao lại là lạm phát mà sợ? Tai nghe, đầu tôi cho vẽ lên ba cái dấu hỏi to thù lù… Có lẽ từ đấy trên báo, chữ lạm phát của ta được thay bằng cụm từ “thu không đủ chi”. Rồi “thất nghiệp” thay bằng “sức lao động không được huy động đúng mức”, khuyết điểm thì thay bằng “chưa theo kịp yêu cầu”, sai lầm thì thay bằng “chưa nắm bắt đúng quy luật…”. Giữ trọn được hình ảnh sáng ngời của đảng thì từ ngữ đất nước bị nhập nhằng đi mất một số. Về chuyên chính vô sản, Duẩn ngắn gọn vô cùng: - Người ta lầm là Marx đề ra đấu tranh giai cấp. Không, nhiều người đã nói cái này trước Marx rồi. Vậy phát kiến vĩ đại của Marx là gì? Là đầu tiên nêu ra chuyên chính vô sản. Thế nào là chuyên chính vô sản? Rồi Duẩn cười cười đưa cạnh bàn tay lên ngang cổ nói: - Là như Jacobins thời Đại Cách Mạng Pháp. Giết, thủ tiêu, bạo lực…. – Hai bàn tay xoè ngửa ra hai bên – Đấy, có thế thôi! Đơn giản, sòng phẳng, dứt khoát.",Chris-/Kili,bbc.com
Ông Nguyễn Cao Trí chính thức bị bắt,"Hôm nay đồng loạt báo chí đăng tải thông tin: Ông Nguyễn Cao Trí mất tư cách thành viên HĐQT #Saigonbank Theo Saigonbank cho biết ông Nguyễn Cao Trí, Thành viên HĐQT nhiệm kỳ 2019-2024, đã đương nhiên mất tư cách, không còn là thành viên HĐQT ngân hàng kể từ ngày 19/1 theo quy định tại Điều 35 Luật các Tổ chức tín dụng. Sau khi tìm hiểu check nguồn tin cho biết: Ông Nguyễn Cao Trí đã bị cơ quan cảnh sát điều tra C01, BCA bắt từ ngày 15/01/2023. Hiện đã được di lý ra Hà Nội cách đây 4 ngày, ông Cao Trí cùng team với bà Trương Mỹ Lan. Nguồn tin cho biết, lý do bị bắt liên quan đến vụ án Vạn Thịnh Phát. Ông Trí không chỉ liên quan đến Vạn Thịnh Phát, đứng tên giùm nhiều tài sản cho bà Trương Mỹ Lan mà còn là một trong những đệ tử thân tín của nguyên Chủ tịch nước Nguyễn Xuân Phúc. Ngoài Nguyễn Cao Trí thì ông Phúc còn có một số đệ tử thân tín khác cộm cán như Thân Đức Nam, Don Lam, Đặng Văn Thành, Dương Thaco . . .",nan,bbc.com
TUYÊN CÁO CỦA BỘ TRƯỞNG NGOẠI GIAO VIỆT NAM CỘNG HÒA VỀ NHỮNG HÀNH ĐỘNG GÂY HẤN CỦA TRUNG CỘNG TRONG KHU VỰC ĐẢO HOÀNG SA (NGÀY 19.1.1974),"Sau khi mạo nhận ngày 11.1.1974 chủ quyền trên hai quần đảo Hoàng - Sa và Trường-Sa của Việt Nam Cộng-Hòa, Trung cộng đã đưa Hải-quân tới khu vực Hoàng- Sa, và đổ bộ quân lính lên các đảo Cam -Tuyền, Quang -Hòa và Duy -Mộng. Lực lượng Hải -quân Trung -Cộng gồm 11 chiến đỉnh thuộc nhiều loại và trọng lượng khác nhau, kể cả một tàu loại Komar có trang bị hỏa tiễn. Để bảo vệ sự toàn vẹn lãnh thổ và nền an ninh quốc gia trước cuộc xâm lăng quân sự này, các lực lượng Hải quân Việt-Nam Cộng-Hòa trấn đóng trong khu vực này đã ra lệnh cho bọn xâm nhập phải rời khỏi khu vực. Thay vì tuân lệnh, các tàu Trung-Cộng, kể từ 18.1.1974, lại có những hành động khiêu khích như đâm thẳng vào các chiến đỉnh Việt-Nam. Sáng ngày nay, 19.1.1974 hồi 10h20, một hộ-tống hạm Trung-Cộng thuộc loại Kronstadt đã khai hỏa bắn vào khu trục hạm “Trần Khánh Dư” mang số HQ-04 của Việt-Nam Cộng-Hòa. Để tự vệ, các chiến hạm Việt-Nam đã phản pháo và gây hư hại cho hộ tống hạm Trung Cộng. Cuộc giao tranh hiện còn tiếp diễn và đang gây thiệt hại về nhân mạng và vật chất cho cả đôi bên. Các hành động quân sự của Trung Cộng là hành vi xâm phạm trắng trợn vào lãnh thổ Việt-Nam Cộng-Hòa, và một lần nữa vạch trần chánh sách bành trướng đế quốc mà Trung Cộng liên tục theo đuổi, đã được biểu lộ qua cuộc thôn tính Tây Tạng, cuộc xâm lăng Đại Hàn và Ấn Độ trước kia. Việc Trung Cộng ngày nay xâm phạm lãnh thổ Việt Nam Cộng-Hòa không những chỉ đe dọa chủ quyền an ninh của Việt Nam Cộng Hòa mà còn là một hiểm họa đối với nền hòa bình và ổn cố của Đông Nam Á và toàn thế giới. Với tư cách một nước nhỏ bị một cường quốc vô cớ tấn công. Việt Nam Cộng Hòa kêu gọi toàn thể các dân tộc yêu chuộng công lý và hòa bình trên thế giới hãy cương quyết lên án các hành vi chiến tranh thô bạo củaTrung Cộng nhằm vào một quốc gia độc lập và có chủ quyền để buộc Trung Cộng phải tức khắc chấm dứt các hành động nguy hiểm đó. Làm ngơ để cho Trung Cộng tự do tiến hành cuộc xâm lấn trắng trợn này là khuyến khích kẻ gây hấn tiếp tục theo đuổi chánh sách bành trướng của chúng và sự kiện này đe dọa sự sống còn của những nước nhỏ đặc biệt là những nước ở Á Châu. Trong suốt lịch sử, dân tộc Việt Nam đã đánh bại nhiều cuộc ngoại xâm. Ngày nay, Chánh phủ và nhân dân Việt Nam Cộng Hòa cũng nhất định bảo vệ sự toàn vẹn của lãnh thổ quốc gia. (Tài liệu ronéo của Bộ Ngoại Giao, Sài Gòn, Số 015/BNG/ TTBC/ TT) TUYÊN CÁO CỦA CHÍNH PHỦ VIỆT NAM CỘNG HÒA VỀ CHỦ QUYỀN CỦA VIỆT NAM CỘNG HÒA TRÊN NHỮNG ĐẢO Ở NGOÀI KHƠI BỜ BIỂN VIỆT NAM CỘNG HÒA Nguyên văn: Nghĩa vụ cao cả và cấp thiết của một chánh phủ là bảo vệ chủ quyền, độc lập và sự vẹn toàn lãnh thổ của quốc gia. Chánh phủ Việt Nam Cộng Hòa cương quyết làm tròn nghĩa vụ này, bất luận những khó khăn trở ngại có thể gặp phải và bất chấp những sự phản đối không căn cứ dầu phát xuất từ đâu. Trước việc Trung Cộng trắng trợn xâm chiếm bằng vũ lực quần đảo Hoàng Sa của Việt Nam Cộng Hòa, Chánh phủ Việt Nam Cộng Hòa thấy cần phải tuyên cáo long trọng trước công luận thế giới cho bạn cũng như thù biết rõ rằng: Quần đảo Hoàng Sa và quần đảo Trường Sa là những phần bất khả phân của lãnh thổ Việt Nam Cộng Hòa. Chánh phủ và nhân dân Việt Nam Cộng Hòa không bao giờ chịu khuất phục trước bạo lực mà từ bỏ tất cả hay một phần chủ quyền của mình trên những quần đảo ấy. Chừng nào còn một hòn đảo thuộc lãnh thổ ấy của Việt Nam Cộng Hòa bị nước ngoài chiếm giữ bằng bạo lực thì chừng ấy Chánh phủ và nhân dân Việt Nam Cộng Hòa còn đấu tranh để khôi phục những quyền lợi chính đáng của mình. Kẻ xâm chiếm phải chịu hoàn toàn trách nhiệm về mọi tình trạng căng thẳng có thể do đó mà có. Trong dịp này, Chánh phủ Việt Nam Cộng Hòa cũng long trọng tái xác nhận chủ quyền của Việt Nam Cộng Hòa trên những hải đảonằm ở ngoài khơi bờ biển Trung Phần và bờ biển Nam Phần Việt Nam, từ trước tới nay vẫn được coi là một phần lãnh thổ của Việt Nam Cộng Hòa căn cứ trên những dữ kiện địa lý, lịch sử, pháp lý và thực tại không chối cãi được. Chánh phủ Việt Nam Cộng Hòa cương quyết bảo vệ chủ quyền quốc gia trên những đảo ấy bằng mọi cách. Trung thành với chánh sách hòa bình cố hữu của mình, Chánh phủ Việt Nam Cộng Hòa sẵn sàng giải quyết bằng đường lối thương lượng những vụ tranh chấp quốc tế có thể xảy ra về những hải đảo ấy, nhưng nhất định không vì thế mà từ bỏ chủ quyền của Việt Nam Cộng Hòa trên những phần đất này.",nan,bbc.com
"KỶ LUẬT MAI TIẾN DŨNG, ĐCSVN LẠI CHỈ GIƠ CAO ĐÁNH KHẼ","Hôm qua, 13 Tháng Giêng 2023 theo đề nghị của Ủy Ban Kiểm tra Trung ương Đảng CSVN, Ban Bí thư đưa ra quyết định kỷ luật cảnh cáo ông Mai Tiến Dũng, nguyên Bộ trưởng- Chủ nhiệm Văn phòng Chính phủ vì ""vi phạm nguyên tắc tập trung dân chủ, quy định của Đảng, pháp luật của Nhà nước, thiếu trách nhiệm trong thực hiện nhiệm vụ tổ chức các chuyến bay đưa công dân về nước trong đại dịch Covid-19, để một số cán bộ Văn phòng Chính phủ tham mưu, đề xuất không đúng kết luận của Thủ tướng, nhận hối lộ, bị khởi tố, bắt tạm giam"". Quyết định vừa nêu được đưa ra tại cuộc họp của Ban Bí Thư tại Hà Nội dưới sự chủ trì của ông Tổng bí thư Nguyễn Phú Trọng. Ông Mai Tiến Dũng này từng được nhắc nhiều với câu phát biểu khi đang tại chức : “Chúng ta sai nhận lỗi trước dân, dân sai phải chịu trách nhiệm trước pháp luật!"". Trong lúc vi phạm lỗi lầm trên ông Mai Tiến Dũng đang giữ chức vụ Bộ trưởng Chủ nhiệm Văn phòng Chính phủ, một chức vụ khá cao trong chính phủ. Nay ông chỉ bị kỷ luật cảnh cáo cho thấy sự bất cập trong việc xử phạt cán bộ, quan chức cấp cao. Với tấm thẻ đảng và vị trí cao cấp trong chính phủ ông Mai Tiến Dũng không bị pháp luật trừng trị đúng với tội danh của ông, cấu kết có hệ thống từ bộ ngoại giao đến địa phương lợi dụng đại dịch để trục lợi trên lưng đồng bào. „Lỗi“ của ông Mai Tiến Dũng gây tác hại nghiêm trọng cho xã hội thì chỉ được đảng giơ cao đánh khẽ. Còn dân vì đói mà ăn cắp 1, 2 con vịt thì bị phạt tù vài năm. ĐCSVN chuyên hô hào công bằng xã hội nhưng chẳng bao giờ thực hiện điều đơn giản này. Chỉ kỷ luật cảnh cáo đã xóa tan lỗi lầm tày trời. Chuyện chỉ xảy ra dưới chế độ độc tài CSVN.",Ngọc Thu,bbc.com
TẤT CẢ LÀ TẠI DÂN,"Ông Mai Tiến Dũng – cựu Chủ nhiệm văn phòng Chính phủ, người vừa bị Ban chấp hành Trung ương đảng cộng sản Việt Nam kỷ luật, từng phát biểu: “Nếu chúng ta sai, chúng ta nhận lỗi trước dân, nếu dân sai thì phải chịu trách nhiệm trước pháp luật”. Đây không phải là lần đầu tiên mà một lãnh đạo đảng, chính phủ Việt Nam có phát biểu đổ lỗi cho người dân như thế. Trước đây, ông Nguyễn Sinh Hùng – cựu Chủ tịch quốc hội Việt Nam (giai đoạn 2011 – 2016) cũng có một phát biểu tương tự: “Quốc hội tức là dân, dân quyết sai thì dân chịu, chứ kỷ luật ai?” Còn trong mấy ngày gần đây, dư luận lại phẫn nộ về một phát biểu của ông Cục phó Cục đăng kiểm Việt Nam Nguyễn Tô An rằng: Người dân đưa tiền làm hư đăng kiểm viên” trước hàng loạt sai phạm của các cơ sở đăng kiểm trong cả nước. Ba ví dụ trên khác nhau về thời điểm, hoàn cảnh nhưng có một điểm chung là “lỗi là tại người dân”. Dù có chuyện gì xảy ra thì cũng là lỗi của người dân chứ lãnh đạo không có lỗi. Dân có lỗi vì ai bảo đã bầu ra cán bộ. Nếu dân sai thì dân phải chịu trách nhiệm trước pháp luật, còn cán bộ sai thì nhận lỗi trước dân. À mà không, cán bộ sai thì xin lỗi đảng chứ có thấy cán bộ xin lỗi dân bao giờ đâu? Một trong những đặc điểm của một thể chế độc tài, độc đảng, toàn trị là họ không bao giờ nhận sai. Nếu có sai thì các đồng chí họp kín, đóng cổng thanh trừng nội bộ lẫn nhau; có sai thì xin lỗi đảng, xin lỗi lãnh đạo, xin lỗi cấp trên chứ có thấy bao giờ xin lỗi nhân dân. Còn sống trong một đất nước độc tài do đảng cộng sản lãnh đạo thì mãi mãi “Tất cả là tại dân”.",Hồng Hà,bbc.com
TRUNG ÚY CÔNG AN DÙNG NH.ỤC H.ÌNH KHIẾN MỘT PHẠM NHÂN T.Ử V.ONG TRONG ĐỒN CÔNG AN,"Trung úy Võ Thành Đạt (Đội thi hành án hình sự, Công an Q.11, TP.HCM) đã bị bắt tạm giam vì tội dùng nh.ục h.ình làm một phạm nhân t.ử v.ong trong đồn công an. Phạm nhân là anh Triệu Quang Bình bị công an quận Bình Thạnh bắt vì tội trộm cắp tài sản. Sau đó được chuyển về côn an quận 11 giam giữ. Trong quá trình giam giữ, Trung úy công an Võ Thành Đạt đã dùng nh.ục hì.nh khiến phạm nhân t.ử v.ong. Tờ báo Thanh Niên đưa tin vắn tắt vụ việc này mà không có nhiều thông tin gì thêm. Chúng ta còn nhớ vụ ông Nguyễn Thanh Chấn nhận bản án chung thân, sau đó bị tù oan hơn 10 năm vì bị ép cung buộc phải nhận tội. Vụ em Đỗ Đăng Dư bị công an đánh ch.ết trong trại giam xảy ra năm 2015. Vụ tù oan sai như Hồ Duy Hải, Nguyễn Văn Trưởng rất nhiều vụ việc khác nữa đã và đang xảy ra. Chuyện ép cung, dùng nhục hình, ch.ết trong đồn công an là việc phổ biến xảy ra ở Việt Nam. Khi công an là “thanh kiếm, lá chắn” bảo vệ đảng và được đảng bảo kê lại, là một “xã hội đen” hoạt động hợp pháp thì những chuyện đánh đập, nh.ục h.ình, ép cung còn tiếp diễn. Chúng ta cần lên án những hành động trái pháp luật, lạm quyền và vô nhân tính của công an trước khi những cái ch.ết khác trong đồn công an lại tiếp tục xảy ra.",Hồng Hà,bbc.com
EM GÁI NHÀ DÌ RUỘT VÀ CHÁU RUỘT VỢ CT NGUYỄN XUÂN PHÚC BỊ BẮT VÌ VỤ GIẢI CỨU,"EM GÁI NHÀ DÌ RUỘT VÀ CHÁU RUỘT VỢ CT NGUYỄN XUÂN PHÚC BỊ BẮT VÌ VỤ GIẢI CỨU Hôm trước bắt cháu ruột vợ Chủ tịch nước Nguyễn Xuân Phúc vì Giải Cứu. Hôm qua thì bắt em con nhà dì ruột vợ Chủ tịch nước. Ôi, chít mất Chủ tịch ơi 😅 Ps: Nguyễn Bạch Thùy Linh - là em nhà dì ruột vợ Chủ tịch Phúc, mẹ bà Linh và mẹ bà Thu là hai chị em ruột. Căng phết",TVĐ,bbc.com
"NẾU MỘT QUAN CHỨC VI PHẠM THÌ ĐÓ LÀ LỖI CỦA HỌ, NHƯNG NẾU NHIỀU QUAN CHỨC VI PHẠM THÌ ĐÓ LÀ LỖI HỆ THỐNG","Ngày 27 Tháng Mười Hai, 2022, báo Tuổi Trẻ đưa tin về hội nghị tổng kết công tác năm 2022 và triển khai nhiệm vụ năm 2023 do Ủy ban Kiểm tra Trung ương tổ chức. Theo đó, năm 2022 đã thi hành kỷ luật Đảng với 38 tổ chức Đảng, 166 đảng viên và đề nghị Ban Chấp hành Trung ương, Bộ Chính trị, Ban Bí thư thi hành kỷ luật 19 tổ chức Đảng, 43 đảng viên. Đó là chưa kể hàng nghìn cán bộ đảng viên bị xử lý khác mà không thuộc diện Trung Ương quản lý. Điều này cho thấy những vi phạm của cán bộ đảng viên diễn ra từ thấp đến cao, không chỉ còn là tham nhũng vặt, quan liêu vặt nữa mà nó đã ở tầm Trung ương rồi. Rõ ràng chứng tỏ tham nhũng, cửa quyền, quan liêu, lợi ích nhóm ở nước ta đã trở thành “Quốc nạn”. Đây là việc mà không thể chỉ quyết tâm của riêng Đảng cộng sản mà có thể giải quyết được, việc này đòi hỏi sự quan tâm của người dân, của xã hội dân sự, của các tổ chức giám sát mới có thể giảm bớt những việc này. Nhưng tiếc rằng, mỗi khi người dân mở miệng lên tiếng vì một vấn đề nào đó đều bị cho là thế lực thù địch, phản động chống phá. Thế nên, nếu không có dân chủ, đa nguyên đa đảng, báo chí tự do, thì vĩnh viễn cuộc chiến chống tham nhũng tiêu cực của đảng cộng sản chỉ là cuộc chiến thanh trừng phe phái mà thôi. Điều đó chỉ giúp duy trì thêm ít năm tháng tồn tại của đảng cộng sản chứ không thể nào quay ngược bánh xe đào thải của lịch sử. Bởi một người vi phạm thì đó là lỗi của họ, nhưng nếu quá nhiều người vi phạm thì đó là lỗi của hệ thống cộng sản. Mà hệ thống lỗi thì chỉ có thể phá bỏ thay thế chứ không thể nào sửa chữa cải tạo.",Hồng Hà,bbc.com
VĂN HÓA RAU GIÁO VIÊN,"Vụ thế này trước kia tôi đã nói một lần rồi trong một bài viết. Tôi đã từng hỏi giáo viên, thực chất thì hầu như trường nào cũng có, có tùy mức độ, hoặc nơi diễn ra, có thể là trong nhà trường hoặc karaoke, nhà hàng hay là.... Nhưng trâu không uống nước thì ai mà ghì đầu được trâu. Giáo viên hiện nay ở cái xứ xhcn thì cũng có nhiều phe nhóm ở một trường, giáo viên phe hiệu trưởng, phe bị đì, phe trung lập và có rất ít phe ch.ống hiệu trưởng. Những cô giáo đi mấy vụ tiếp khách này thì có vài trường hợp cụ thể. + sợ hiệu trưởng. + cùng phe với hiệu trưởng( nịnh nọt, bợ đít). + sợ bị mất thi đua. Chế độ cnxh thích tạo ra những kiểu thi đua, để đồng cấp đua tranh từ đó dễ ganh ghét nhau và quan trọng hơn là mục đích sợ kẻ nắm quyền, từ đó có lợi cho việc cai trị. + thích rượu, bia, ham vui. Điều này cũng đúng vì các cô đa phần còn trẻ. + tìm cơ hội lên chức bà, thay chồng, hoặc đổi gió. Riêng những giáo viên có tự trọng, biết giữ mình, mạnh mẽ trước những yêu cầu sai trái của hiệu trưởng thì chẳng ai làm việc này, cơ bản một tên ma cô cũng rất khó có thể ép một nguời tiếp khách nếu như họ thực sự không muốn. Trong một xh hiện nay, tuy rằng có rất nhiều hạn chế hoặc không có các quyền cơ bản của con người. Nhưng để ép một người đi làm việc như gái bia ôm, mà còn tệ hơn cả gái bia ôm( không có boa) thì điều này là rất khó, trâu làm sao có thể ghì đầu. Tôi không hiểu sao mọi người cứ làm ầm lên, đây vốn là chuyện bình thường của xứ xhcn mà. Thực chất thì nó đã có từ rất lâu, nhưng ở trong phòng kín ấy, nó đã có nâng cấp lên như một quán bia ôm hay còn đột phá hơn bia ôm nữa. Đó là điều ít ai biết. Đừng ai trách ông bộ trưởng GD hiện nay. Vì ông ta không tạo ra nó, mà nó đã có từ lâu. Cái lâu của nó đã nâng tầm lên thành Văn Hóa, và ông ta chỉ là đang duy trì cái Văn Hóa Rau Giáo Viên này thôi.",Tran Ha,bbc.com
